          RA           DEC             R062             Z087 
 00:53:18.84  +39:50:47.64       26.7503633       27.5129288 
 00:53:18.19  +39:50:45.45       28.5691264       29.8425557 
 00:53:25.19  +39:51:08.57       27.9066829       29.3105455 
 00:53:17.47  +39:50:43.00       29.3388851       30.5362283 
 00:53:26.25  +39:51:12.02       28.9166981       29.8749136 
 00:53:22.11  +39:50:58.34       29.5581611       30.5272461 
 00:53:27.38  +39:51:15.67       29.0959590       30.2715633 
 00:53:24.44  +39:51:05.89       28.2737720       29.2102486 
 00:53:19.29  +39:50:48.68       28.5101068       29.6422333 
 00:53:20.19  +39:50:51.66       29.6835307       30.5439212 
 00:53:24.43  +39:51:05.61       27.4520525       28.7472206 
 00:53:22.23  +39:50:58.28       28.6617960       30.3265252 
 00:53:24.42  +39:51:05.57       28.6888851       29.8862283 
 00:53:28.73  +39:51:19.73       28.1666981       29.1249136 
 00:53:22.20  +39:50:58.15       26.6132894       27.3975938 
 00:53:24.36  +39:51:05.27       29.2223090       30.1479161 
 00:53:18.08  +39:50:44.45       28.0581460       29.4728780 
 00:53:16.99  +39:50:40.82       29.3159590       30.4915633 
 00:53:17.01  +39:50:40.86       28.8052351       29.7525811 
 00:53:21.88  +39:50:56.97       29.4642546       30.5529034 
 00:53:32.27  +39:51:31.16       29.2720676       30.1215887 
 00:53:32.56  +39:51:32.15       28.8503633       29.6129288 
 00:53:27.49  +39:51:15.30       29.0779198       29.9709187 
 00:53:28.11  +39:51:17.30       28.7789002       29.5305963 
 00:53:32.05  +39:51:30.33       28.8037569       30.1858805 
 00:53:20.60  +39:50:52.47       29.2201220       29.9066014 
 00:53:26.69  +39:51:12.61       28.6225503       29.6242435 
 00:53:30.93  +39:51:26.49       28.7503481       29.9585607 
 00:53:19.41  +39:50:48.40       27.0493829       27.9532511 
 00:53:21.35  +39:50:54.78       29.1208459       30.0355836 
 00:53:21.15  +39:50:54.08       29.4481460       30.8628780 
 00:53:23.40  +39:51:01.49       29.5484176       30.1479415 
 00:53:33.56  +39:51:35.07       28.6984025       29.7435735 
 00:53:17.84  +39:50:43.07       27.2837720       28.2202486 
 00:53:22.54  +39:50:58.58       24.2291416       25.0569237 
