# File generated by CMD 3.2 (http://stev.oapd.inaf.it/cmd) on Fri Mar  8 04:16:14 CET 2019
# PARSEC isochrones, release v1.1 (Bressan et al. 2012)
# Basic reference: Bressan et al. (2012), MNRAS, 427, 127
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: CFHT/Megacam <i>u*g'r'i'z'</i>
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
# Zini logAge Mini int_IMF  Mass   logL    logTe  logg  label 	 mbolmag  u*mag   g'mag   r'mag   i'mag   z'mag
4.916e-05 9.929 0.8856597543 3.1053011417    0.833  2.018  3.7260  2.197    4 -0.274 0.911 0.161 -0.261 -0.447 -0.516
4.916e-05 9.929 0.8856606483 3.1053013802    0.833  2.031  3.7245  2.178    4 -0.307 0.890 0.134 -0.293 -0.481 -0.552
4.916e-05 9.929 0.8856617808 3.1053018570    0.833  2.060  3.7218  2.138    4 -0.381 0.839 0.072 -0.364 -0.558 -0.631
4.916e-05 9.929 0.8856631517 3.1053023338    0.833  2.099  3.7186  2.086    4 -0.478 0.769 -0.013 -0.459 -0.659 -0.736
4.916e-05 9.929 0.8856645226 3.1053028107    0.833  2.135  3.7161  2.041    4 -0.567 0.705 -0.090 -0.545 -0.750 -0.830
4.916e-05 9.929 0.8856676817 3.1053037643    0.833  2.160  3.7146  2.009    4 -0.629 0.657 -0.145 -0.606 -0.814 -0.895
4.916e-05 9.929 0.8856747746 3.1053063869    0.833  2.156  3.7149  2.014    4 -0.620 0.662 -0.138 -0.598 -0.805 -0.886
4.916e-05 9.929 0.8857145309 3.1053202152    0.833  2.172  3.7135  1.993    4 -0.660 0.636 -0.172 -0.636 -0.846 -0.929
4.916e-05 9.929 0.8857411146 3.1053297520    0.833  2.215  3.7106  1.938    4 -0.768 0.557 -0.266 -0.742 -0.958 -1.044
4.916e-05 9.929 0.8857601881 3.1053364277    0.833  2.258  3.7079  1.884    4 -0.876 0.480 -0.361 -0.847 -1.068 -1.157
4.916e-05 9.929 0.8857749104 3.1053414345    0.833  2.293  3.7057  1.840    4 -0.963 0.416 -0.438 -0.933 -1.158 -1.250
4.916e-05 9.929 0.8857969642 3.1053493023    0.832  2.342  3.7029  1.780    4 -1.084 0.328 -0.545 -1.051 -1.282 -1.376
